user1,"PATIENT(age,allergy)",DEMAND(hospital),
user2,"PATIENT(age,hospital)","DEMAND(medicine,hospital)",
user3,PATIENT(),"DEMAND(medicine,hospital)",ORDER(price)
user4,"PATIENT(age,allergy)",DEMAND(medicine),ORDER(price)
user5,"PATIENT(hospital,allergy)",DEMAND(value),ORDER(price)
user6,"PATIENT(hospital,allergy)",DEMAND(hospital),
user7,"PATIENT(age,hospital)","DEMAND(medicine,value)",
user8,PATIENT(allergy),DEMAND(hospital),ORDER(price)
user9,"PATIENT(hospital,allergy)",DEMAND(hospital),
user10,PATIENT(),"DEMAND(medicine,hospital)",
user11,"PATIENT(age,hospital)","DEMAND(medicine,value)",
user12,"PATIENT(hospital,allergy)",DEMAND(medicine),ORDER(price)
user13,PATIENT(allergy),DEMAND(medicine),ORDER(price)
user14,"PATIENT(age,hospital)","DEMAND(medicine,hospital)",ORDER(price)
user15,PATIENT(allergy),"DEMAND(medicine,hospital)",ORDER(price)
user16,"PATIENT(age,hospital)",DEMAND(value),
user17,PATIENT(),DEMAND(value),
user18,PATIENT(allergy),"DEMAND(medicine,hospital)",
user19,"PATIENT(age,hospital)",DEMAND(value),
user20,"PATIENT(age,allergy)","DEMAND(medicine,hospital)",
user21,"PATIENT(age,hospital)","DEMAND(medicine,value)",
user22,PATIENT(allergy),DEMAND(value),
user23,"PATIENT(age,hospital)",DEMAND(medicine),ORDER(price)
user24,PATIENT(),DEMAND(value),
user25,"PATIENT(age,hospital)","DEMAND(medicine,value)",ORDER(price)
user26,"PATIENT(age,allergy)",DEMAND(hospital),
user27,PATIENT(),DEMAND(value),ORDER(price)
user28,PATIENT(age),"DEMAND(medicine,value)",
user29,PATIENT(age),DEMAND(medicine),
user30,"PATIENT(age,allergy)","DEMAND(medicine,hospital)",ORDER(price)
user31,"PATIENT(hospital,allergy)",DEMAND(medicine),ORDER(price)
user32,PATIENT(age),DEMAND(hospital),
user33,PATIENT(age),DEMAND(value),ORDER(price)
user34,PATIENT(),DEMAND(hospital),
user35,"PATIENT(age,hospital)",DEMAND(value),ORDER(price)
user36,PATIENT(age),"DEMAND(medicine,hospital)",
user37,"PATIENT(hospital,allergy)","DEMAND(medicine,value)",
user38,PATIENT(),DEMAND(value),
user39,"PATIENT(age,allergy)","DEMAND(medicine,value)",ORDER(price)
user40,PATIENT(),"DEMAND(medicine,value)",
user41,"PATIENT(hospital,allergy)",DEMAND(medicine),
user42,"PATIENT(age,allergy)","DEMAND(medicine,value)",ORDER(price)
user43,"PATIENT(age,allergy)",DEMAND(hospital),
user44,"PATIENT(age,allergy)","DEMAND(medicine,value)",ORDER(price)
user45,"PATIENT(hospital,allergy)",DEMAND(hospital),
user46,PATIENT(),"DEMAND(medicine,hospital)",
user47,PATIENT(),DEMAND(hospital),
user48,"PATIENT(hospital,allergy)",DEMAND(hospital),ORDER(price)
user49,"PATIENT(age,allergy)",DEMAND(medicine),ORDER(price)
user50,"PATIENT(age,allergy)",DEMAND(medicine),ORDER(price)
